team,venue_city,venue_country,distance_km
Bolivia,Vancouver,Canada,9087.6
Bolivia,Seattle,USA,8927.7
Bolivia,Los Angeles,USA,7725.5
Bolivia,San Francisco Bay Area,USA,8218.6
Bolivia,Boston,USA,6522.9
Bolivia,New York/New Jersey,USA,6402.3
Bolivia,Philadelphia,USA,6313.5
Bolivia,Houston,USA,5909.3
Bolivia,Miami,USA,4898.9
Bosnia and Herzegovina,Mexico City,Mexico,10552.0
Bosnia and Herzegovina,Guadalajara,Mexico,10716.7
Bosnia and Herzegovina,Monterrey,Mexico,10078.2
Bosnia and Herzegovina,Atlanta,USA,8381.1
Bosnia and Herzegovina,Kansas City,USA,8600.7
Bosnia and Herzegovina,Toronto,Canada,7334.1
Bosnia and Herzegovina,Dallas,USA,9279.2
Bosnia and Herzegovina,Vancouver,Canada,9003.4
Bosnia and Herzegovina,Seattle,USA,9143.2
Bosnia and Herzegovina,Los Angeles,USA,10316.1
Bosnia and Herzegovina,San Francisco Bay Area,USA,10135.9
Bosnia and Herzegovina,Boston,USA,6905.4
Bosnia and Herzegovina,New York/New Jersey,USA,7178.3
Bosnia and Herzegovina,Philadelphia,USA,7313.5
Bosnia and Herzegovina,Houston,USA,9429.7
Bosnia and Herzegovina,Miami,USA,8683.6
Botswana,Mexico City,Mexico,14354.7
Botswana,Guadalajara,Mexico,14829.8
Botswana,Monterrey,Mexico,14633.6
Botswana,Atlanta,USA,13299.7
Botswana,Kansas City,USA,14267.1
Botswana,Toronto,Canada,13065.2
Botswana,Dallas,USA,14448.8
Botswana,Vancouver,Canada,16183.0
Botswana,Seattle,USA,16235.6
Botswana,Los Angeles,USA,16417.9
Botswana,San Francisco Bay Area,USA,16664.0
Botswana,Boston,USA,12379.9
Botswana,New York/New Jersey,USA,12573.0
Botswana,Philadelphia,USA,12639.9
Botswana,Houston,USA,14243.8
Botswana,Miami,USA,12697.9
Brazil,Mexico City,Mexico,6825.5
Brazil,Guadalajara,Mexico,7291.7
Brazil,Monterrey,Mexico,7299.2
Brazil,Atlanta,USA,6728.2
Brazil,Kansas City,USA,7779.7
Brazil,Toronto,Canada,7342.0
Brazil,Dallas,USA,7509.5
Brazil,Vancouver,Canada,10297.7
Brazil,Seattle,USA,10175.2
Brazil,Los Angeles,USA,9268.4
Brazil,San Francisco Bay Area,USA,9720.6
Brazil,Boston,USA,6865.5
Brazil,New York/New Jersey,USA,6846.5
Brazil,Philadelphia,USA,6803.7
Brazil,Houston,USA,7173.3
Brazil,Miami,USA,5809.7
British Virgin Islands,Mexico City,Mexico,3629.2
British Virgin Islands,Guadalajara,Mexico,4068.8
British Virgin Islands,Monterrey,Mexico,3747.7
British Virgin Islands,Atlanta,USA,2600.9
British Virgin Islands,Kansas City,USA,3677.3
British Virgin Islands,Toronto,Canada,3127.4
British Virgin Islands,Dallas,USA,3605.7
British Virgin Islands,Vancouver,Canada,6198.4
British Virgin Islands,Seattle,USA,6104.4
British Virgin Islands,Los Angeles,USA,5565.3
British Virgin Islands,San Francisco Bay Area,USA,5919.8
British Virgin Islands,Boston,USA,2706.6
British Virgin Islands,New York/New Jersey,USA,2648.9
British Virgin Islands,Philadelphia,USA,2594.6
British Virgin Islands,Houston,USA,3355.1
British Virgin Islands,Miami,USA,1811.8
Brunei,Mexico City,Mexico,15412.0
Brunei,Guadalajara,Mexico,14947.2
Brunei,Monterrey,Mexico,14916.6
Brunei,Atlanta,USA,15255.6
