tournament,match_count,k_factor,category
CONIFA World Football Cup qualification,5,30,All other tournaments (regional/minor/invitational/CONIFA)
EAFF Championship qualification,5,30,All other tournaments (regional/minor/invitational/CONIFA)
Mauritius Four Nations Cup,5,30,All other tournaments (regional/minor/invitational/CONIFA)
Afro-Asian Games,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Al Ain International Cup,4,30,All other tournaments (regional/minor/invitational/CONIFA)
CONIFA Africa Football Cup,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Canadian Shield,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Corsica Cup,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Dakar Tournament,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Great Wall Cup,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Guangzhou International Friendship Tournament,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Joe Robbie Cup,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Matthews Cup,4,30,All other tournaments (regional/minor/invitational/CONIFA)
NAFU Championship,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Navruz Cup,4,30,All other tournaments (regional/minor/invitational/CONIFA)
OSN Cup,4,30,All other tournaments (regional/minor/invitational/CONIFA)
Scania 100 Tournament,4,30,All other tournaments (regional/minor/invitational/CONIFA)
CONIFA South America Football Cup,3,30,All other tournaments (regional/minor/invitational/CONIFA)
CONMEBOL–UEFA Cup of Champions,3,30,All other tournaments (regional/minor/invitational/CONIFA)
Diamond Jubilee International Football Tournament,3,30,All other tournaments (regional/minor/invitational/CONIFA)
Hungary Heritage Cup,3,30,All other tournaments (regional/minor/invitational/CONIFA)
Niamh Challenge Cup,3,30,All other tournaments (regional/minor/invitational/CONIFA)
Outrigger Challenge Cup,3,30,All other tournaments (regional/minor/invitational/CONIFA)
Phillip Seaga Cup,3,30,All other tournaments (regional/minor/invitational/CONIFA)
Three Nations Cup,3,30,All other tournaments (regional/minor/invitational/CONIFA)
Tri-Nations Series,3,30,All other tournaments (regional/minor/invitational/CONIFA)
World Unity Cup,3,30,All other tournaments (regional/minor/invitational/CONIFA)
Zambian Independence Tournament,3,30,All other tournaments (regional/minor/invitational/CONIFA)
ASEAN Championship qualification,2,30,All other tournaments (regional/minor/invitational/CONIFA)
Atlantic Heritage Cup,2,30,All other tournaments (regional/minor/invitational/CONIFA)
Cup of Ancient Civilizations,2,30,All other tournaments (regional/minor/invitational/CONIFA)
Four Nations' Cup,2,30,All other tournaments (regional/minor/invitational/CONIFA)
Marianas Cup,2,30,All other tournaments (regional/minor/invitational/CONIFA)
Mukuru 4 Nations,2,30,All other tournaments (regional/minor/invitational/CONIFA)
Tri-Nations Cup,2,30,All other tournaments (regional/minor/invitational/CONIFA)
Benedikt Fontana Cup,1,30,All other tournaments (regional/minor/invitational/CONIFA)
CONIFA World Cup qualification,1,30,All other tournaments (regional/minor/invitational/CONIFA)
ConIFA Challenger Cup,1,30,All other tournaments (regional/minor/invitational/CONIFA)
Copa Confraternidad,1,30,All other tournaments (regional/minor/invitational/CONIFA)
FIFA 75th Anniversary Cup,1,30,All other tournaments (regional/minor/invitational/CONIFA)
Open International Championship,1,30,All other tournaments (regional/minor/invitational/CONIFA)
Real Madrid 75th Anniversary Cup,1,30,All other tournaments (regional/minor/invitational/CONIFA)
South Asian Super Cup,1,30,All other tournaments (regional/minor/invitational/CONIFA)
TIFOCO Tournament,1,30,All other tournaments (regional/minor/invitational/CONIFA)
The Other Final,1,30,All other tournaments (regional/minor/invitational/CONIFA)
Évence Coppée Trophy,1,30,All other tournaments (regional/minor/invitational/CONIFA)
