date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1906-04-07,Scotland,England,2,1,British Home Championship,FALSE,30,1597.4710,1746.1615
1906-04-22,France,Belgium,0,5,Friendly,FALSE,20,1492.7816,1480.0602
1906-04-29,Belgium,Netherlands,5,0,Friendly,FALSE,20,1506.3304,1534.2459
1906-05-13,Netherlands,Belgium,2,3,Friendly,FALSE,20,1518.3369,1522.2395
1906-07-09,Argentina,South Africa,0,1,Friendly,FALSE,20,1507.8142,1500.0000
1906-08-15,Uruguay,Argentina,0,2,Copa Lipton,FALSE,30,1492.1858,1494.8070
1906-10-07,Czechoslovakia,Hungary,4,4,Friendly,FALSE,20,1495.2740,1491.7309
1906-10-21,Argentina,Uruguay,2,1,Copa Newton,FALSE,30,1523.4532,1463.5396
1906-11-04,Hungary,Austria,3,1,Friendly,FALSE,20,1494.6259,1512.9950
1907-02-16,England,Northern Ireland,1,0,British Home Championship,FALSE,30,1729.0730,1314.1794
1907-02-23,Northern Ireland,Wales,2,3,British Home Championship,FALSE,30,1312.7070,1347.7836
1907-03-04,Wales,Scotland,1,0,British Home Championship,FALSE,30,1365.5544,1614.5595
1907-03-16,Scotland,Northern Ireland,3,0,British Home Championship,FALSE,30,1593.4939,1294.9362
1907-03-18,England,Wales,1,1,British Home Championship,FALSE,30,1730.5454,1386.6200
1907-03-21,Alderney,Jersey,1,2,Muratti Vase,TRUE,30,1469.2276,1464.9858
1907-04-04,Jersey,Guernsey,2,3,Muratti Vase,FALSE,30,1480.1689,1565.7866
1907-04-06,England,Scotland,1,1,British Home Championship,FALSE,30,1717.7073,1598.3027
1907-04-07,Hungary,Czechoslovakia,5,2,Friendly,FALSE,20,1506.1651,1492.3790
1907-04-14,Belgium,Netherlands,1,3,Friendly,FALSE,20,1534.9369,1505.6394
1907-04-21,Belgium,France,1,2,Friendly,FALSE,20,1514.5989,1466.5113
1907-05-05,Austria,Hungary,3,1,Friendly,FALSE,20,1501.4559,1518.1303
1907-05-09,Netherlands,Belgium,1,2,Friendly,FALSE,20,1525.9775,1500.5772
1907-10-06,Czechoslovakia,Hungary,5,3,Friendly,FALSE,20,1480.4139,1506.6603
1907-11-03,Hungary,Austria,4,1,Friendly,FALSE,20,1494.7975,1512.9258
1908-02-15,Northern Ireland,England,1,3,British Home Championship,FALSE,30,1290.1273,1709.3210
1908-03-07,Scotland,Wales,2,1,British Home Championship,FALSE,30,1606.6890,1399.4582
1908-03-08,Switzerland,France,1,2,Friendly,FALSE,20,1492.9124,1480.5329
