date,event_id,team_code,team_name,opponent_code,opponent_name,goals,opponent_goals,neutral,true_home_advantage,elo_pre,elo_post
2026-06-24,760466,RSA,South Africa,KOR,South Korea,1,0,True,False,1666.4852,1713.4153
2026-06-24,760467,CZE,Czech Republic,MEX,Mexico,0,3,False,False,1772.183,1758.861
2026-06-24,760467,MEX,Mexico,CZE,Czech Republic,3,0,False,True,2007.2613,2020.5833
2026-06-25,760468,ECU,Ecuador,GER,Germany,2,1,True,False,1957.6525,1993.8338
2026-06-25,760468,GER,Germany,ECU,Ecuador,1,2,True,False,2030.2782,1994.097
2026-06-25,760469,AUS,Australia,PAR,Paraguay,0,0,True,False,1913.2106,1912.1815
2026-06-25,760469,PAR,Paraguay,AUS,Australia,0,0,True,False,1901.2875,1902.3166
2026-06-25,760470,TUR,Turkey,USA,United States,3,2,False,False,1885.4745,1926.5805
2026-06-25,760470,USA,United States,TUR,Turkey,2,3,False,True,1920.5076,1879.4016
2026-06-25,760471,JPN,Japan,SWE,Sweden,1,1,True,False,2010.5804,1994.1115
2026-06-25,760471,SWE,Sweden,JPN,Japan,1,1,True,False,1796.2479,1812.7168
2026-06-25,760472,NED,Netherlands,TUN,Tunisia,3,1,True,False,2037.0098,2046.7618
2026-06-25,760472,TUN,Tunisia,NED,Netherlands,1,3,True,False,1670.8739,1661.1219
2026-06-25,760473,CIV,Ivory Coast,CUR,Curaçao,2,0,True,False,1843.4357,1863.2019
2026-06-25,760473,CUR,Curaçao,CIV,Ivory Coast,0,2,True,False,1623.1863,1603.4201
2026-06-26,760474,IRQ,Iraq,SEN,Senegal,0,5,True,False,1708.148,1674.5175
2026-06-26,760474,SEN,Senegal,IRQ,Iraq,5,0,True,False,1871.9989,1905.6294
2026-06-26,760475,FRA,France,NOR,Norway,4,1,True,False,2157.1965,2190.6197
2026-06-26,760475,NOR,Norway,FRA,France,1,4,True,False,2024.9069,1991.4836
2026-06-26,760476,EGY,Egypt,IRN,Iran,1,1,True,False,1856.063,1858.6205
2026-06-26,760476,IRN,Iran,EGY,Egypt,1,1,True,False,1885.7538,1883.1963
2026-06-26,760477,BEL,Belgium,NZL,New Zealand,5,1,True,False,1929.1294,1953.8311
2026-06-26,760477,NZL,New Zealand,BEL,Belgium,1,5,True,False,1708.8256,1684.1239
2026-06-26,760478,CPV,Cape Verde,SAU,Saudi Arabia,0,0,True,False,1701.0191,1701.5668
2026-06-26,760478,SAU,Saudi Arabia,CPV,Cape Verde,0,0,True,False,1707.3634,1706.8157
2026-06-26,760479,ESP,Spain,URU,Uruguay,1,0,True,False,2204.2498,2214.7695
2026-06-26,760479,URU,Uruguay,ESP,Spain,0,1,True,False,1935.2776,1924.7579
2026-06-27,760480,CRO,Croatia,GHA,Ghana,2,1,True,False,1962.3155,1973.1133
2026-06-27,760480,GHA,Ghana,CRO,Croatia,1,2,True,False,1698.8568,1688.059
2026-06-27,760481,COL,Colombia,POR,Portugal,0,0,True,False,2090.5522,2087.9688
2026-06-27,760481,POR,Portugal,COL,Colombia,0,0,True,False,2060.559,2063.1424
2026-06-27,760482,CDR,DR Congo,UZB,Uzbekistan,3,1,True,False,1774.6761,1819.9186
2026-06-27,760482,UZB,Uzbekistan,CDR,DR Congo,1,3,True,False,1776.5481,1731.3056
2026-06-27,760483,ARG,Argentina,JOR,Jordan,3,1,True,False,2218.5091,2223.4089
2026-06-27,760483,JOR,Jordan,ARG,Argentina,1,3,True,False,1722.6075,1717.7078
2026-06-27,760484,ALG,Algeria,AUT,Austria,3,3,True,False,1878.2843,1880.3071
2026-06-27,760484,AUT,Austria,ALG,Algeria,3,3,True,False,1901.7459,1899.7231
2026-06-27,760485,ENG,England,PAN,Panama,2,0,True,False,2095.0262,2108.4359
2026-06-27,760485,PAN,Panama,ENG,England,0,2,True,False,1792.3239,1778.9142
2026-06-28,760486,CAN,Canada,RSA,South Africa,1,0,False,True,1857.5047,1869.3252
2026-06-28,760486,RSA,South Africa,CAN,Canada,0,1,False,False,1713.4153,1701.5947
2026-06-29,760487,BRA,Brazil,JPN,Japan,2,1,True,False,2095.9643,2117.4132
2026-06-29,760487,JPN,Japan,BRA,Brazil,1,2,True,False,1994.1115,1972.6626
2026-06-29,760488,MAR,Morocco,NED,Netherlands,1,1,True,False,2023.9114,2025.8816
2026-06-29,760488,NED,Netherlands,MAR,Morocco,1,1,True,False,2046.7618,2044.7916
2026-06-29,760489,GER,Germany,PAR,Paraguay,1,1,True,False,1994.097,1986.3514
2026-06-29,760489,PAR,Paraguay,GER,Germany,1,1,True,False,1902.3166,1910.0622
2026-06-30,760490,CIV,Ivory Coast,NOR,Norway,1,2,True,False,1863.2019,1843.8013
