event_id,date,match_slug,team_code,team_espn_abbr,home_away,goals,opponent_goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession_pct,total_shots,shots_on_target,blocked_shots,passes,pass_pct,interceptions,effective_tackles,clearances,venue,venue_city
760438,2026-06-18,CZE-RSA,CZE,CZE,home,1,1,12,1,0,2,5,3,38.3,14,3,3,341,0.8,9,4,22,Mercedes-Benz Stadium,"Atlanta, Georgia"
760438,2026-06-18,CZE-RSA,RSA,RSA,away,1,1,10,2,0,3,5,2,61.7,17,4,8,563,0.9,9,11,24,Mercedes-Benz Stadium,"Atlanta, Georgia"
760439,2026-06-18,SUI-BIH,SUI,SUI,home,4,1,7,1,0,3,7,2,62.3,13,7,3,586,0.9,5,13,17,SoFi Stadium,"Inglewood, California"
760439,2026-06-18,SUI-BIH,BIH,BIH,away,1,4,18,2,1,1,3,3,37.7,5,3,1,354,0.8,11,3,36,SoFi Stadium,"Inglewood, California"
760440,2026-06-18,CAN-QAT,CAN,CAN,home,6,0,9,1,0,1,19,0,79.0,32,10,14,567,0.9,6,5,3,BC Place,Vancouver
760440,2026-06-18,CAN-QAT,QAT,QAT,away,0,6,10,1,2,1,1,4,21.0,2,0,1,162,0.6,10,10,61,BC Place,Vancouver
760441,2026-06-18,MEX-KOR,MEX,MEX,home,1,0,9,0,0,3,1,2,42.4,8,4,1,427,0.8,6,7,20,Estadio Akron,Guadalajara
760441,2026-06-18,MEX-KOR,KOR,KOR,away,0,1,7,2,0,6,2,3,57.6,9,2,3,578,0.8,5,10,12,Estadio Akron,Guadalajara
760442,2026-06-19,USA-AUS,USA,USA,home,2,0,12,3,0,1,7,2,61.9,10,2,6,523,0.8,20,8,31,Lumen Field,"Seattle, Washington"
760442,2026-06-19,USA-AUS,AUS,AUS,away,0,2,16,4,0,0,4,1,38.1,5,2,0,310,0.7,6,11,24,Lumen Field,"Seattle, Washington"
760443,2026-06-19,TUR-PAR,TUR,TUR,home,0,1,14,1,0,2,12,1,78.5,32,5,12,629,0.9,6,11,29,Levi's Stadium,"Santa Clara, California"
760443,2026-06-19,TUR-PAR,PAR,PAR,away,1,0,15,1,1,3,0,5,21.5,7,2,2,178,0.5,9,15,48,Levi's Stadium,"Santa Clara, California"
760444,2026-06-19,BRA-HAI,BRA,BRA,home,3,0,13,1,0,8,4,3,56.7,8,5,1,525,0.9,10,10,14,Lincoln Financial Field,"Philadelphia, Pennsylvania"
760444,2026-06-19,BRA-HAI,HAI,HAI,away,0,3,14,3,0,4,4,2,43.3,7,3,1,399,0.8,9,10,22,Lincoln Financial Field,"Philadelphia, Pennsylvania"
760445,2026-06-19,SCO-MAR,SCO,SCO,home,0,1,11,1,0,1,2,1,41.1,6,0,3,456,0.9,9,12,17,Gillette Stadium,"Foxborough, Massachusetts"
760445,2026-06-19,SCO-MAR,MAR,MAR,away,1,0,8,1,0,0,5,0,58.9,12,2,4,670,0.9,5,6,14,Gillette Stadium,"Foxborough, Massachusetts"
760446,2026-06-20,ECU-CUR,ECU,ECU,home,0,0,7,1,0,1,9,3,74.6,27,15,2,644,0.9,7,11,17,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri"
760446,2026-06-20,ECU-CUR,CUR,CUW,away,0,0,10,5,0,2,0,15,25.4,10,3,3,227,0.7,8,7,32,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri"
760447,2026-06-20,NED-SWE,NED,NED,home,5,1,9,0,0,3,2,7,50.9,10,7,1,449,0.9,8,8,24,NRG Stadium,"Houston, Texas"
760447,2026-06-20,NED-SWE,SWE,SWE,away,1,5,12,3,0,3,5,2,49.1,16,8,3,425,0.8,5,9,14,NRG Stadium,"Houston, Texas"
760448,2026-06-20,GER-CIV,GER,GER,home,2,1,5,0,0,0,8,1,59.5,16,7,4,624,0.9,8,17,14,BMO Field,Toronto
760448,2026-06-20,GER-CIV,CIV,CIV,away,1,2,7,0,0,1,3,5,40.5,9,2,5,431,0.9,13,11,26,BMO Field,Toronto
760449,2026-06-21,TUN-JPN,TUN,TUN,home,0,4,8,0,0,1,3,1,37.9,2,0,1,354,0.8,14,16,23,Estadio BBVA,Guadalupe
760449,2026-06-21,TUN-JPN,JPN,JPN,away,4,0,15,0,0,1,5,0,62.1,11,5,3,583,0.9,7,12,25,Estadio BBVA,Guadalupe
760450,2026-06-21,URU-CPV,URU,URU,home,2,2,11,2,0,3,11,2,65.2,17,2,7,511,0.8,7,8,11,Hard Rock Stadium,"Miami Gardens, Florida"
760450,2026-06-21,URU-CPV,CPV,CPV,away,2,2,4,2,0,0,4,0,34.8,12,4,4,278,0.7,13,15,48,Hard Rock Stadium,"Miami Gardens, Florida"
760451,2026-06-21,BEL-IRN,BEL,BEL,home,0,0,7,1,1,3,4,3,70.1,23,7,6,621,0.9,3,7,11,SoFi Stadium,"Inglewood, California"
760451,2026-06-21,BEL-IRN,IRN,IRN,away,0,0,9,1,0,4,2,7,29.9,7,3,1,270,0.7,12,11,51,SoFi Stadium,"Inglewood, California"
760452,2026-06-21,NZL-EGY,NZL,NZL,home,1,3,14,2,0,3,4,4,44.4,11,5,3,421,0.8,4,6,22,BC Place,Vancouver
760452,2026-06-21,NZL-EGY,EGY,EGY,away,3,1,8,1,0,0,4,4,55.6,19,7,6,526,0.9,6,13,37,BC Place,Vancouver
760453,2026-06-21,ESP-SAU,ESP,ESP,home,4,0,10,0,0,2,6,1,67.1,22,8,2,726,0.9,13,8,17,Mercedes-Benz Stadium,"Atlanta, Georgia"
760453,2026-06-21,ESP-SAU,SAU,KSA,away,0,4,2,2,0,3,1,5,32.9,3,1,1,364,0.8,13,12,35,Mercedes-Benz Stadium,"Atlanta, Georgia"
760454,2026-06-22,NOR-SEN,NOR,NOR,home,3,2,13,0,0,0,5,2,41.7,13,7,3,353,0.8,8,9,26,MetLife Stadium,"East Rutherford, New Jersey"
760454,2026-06-22,NOR-SEN,SEN,SEN,away,2,3,5,0,0,4,4,3,58.3,16,4,5,489,0.9,10,7,18,MetLife Stadium,"East Rutherford, New Jersey"
760455,2026-06-22,JOR-ALG,JOR,JOR,home,1,2,11,1,0,1,1,6,27.9,8,4,0,251,0.7,3,17,36,Levi's Stadium,"Santa Clara, California"
760455,2026-06-22,JOR-ALG,ALG,ALG,away,2,1,6,1,0,0,10,3,72.1,17,8,5,641,0.9,11,18,15,Levi's Stadium,"Santa Clara, California"
760456,2026-06-22,ARG-AUT,ARG,ARG,home,2,0,13,2,0,2,1,1,53.6,12,5,3,554,0.9,8,11,35,AT&T Stadium,"Arlington, Texas"
760456,2026-06-22,ARG-AUT,AUT,AUT,away,0,2,13,2,0,0,3,2,46.4,6,1,0,468,0.9,9,7,15,AT&T Stadium,"Arlington, Texas"
760457,2026-06-22,FRA-IRQ,FRA,FRA,home,3,0,8,0,0,1,4,0,55.6,19,5,4,603,0.9,5,9,9,Lincoln Financial Field,"Philadelphia, Pennsylvania"
760457,2026-06-22,FRA-IRQ,IRQ,IRQ,away,0,3,4,1,0,0,2,2,44.4,4,0,1,481,0.9,10,8,28,Lincoln Financial Field,"Philadelphia, Pennsylvania"
760458,2026-06-23,ENG-GHA,ENG,ENG,home,0,0,14,1,0,2,9,0,78.9,19,3,6,633,0.9,1,7,6,Gillette Stadium,"Foxborough, Massachusetts"
760458,2026-06-23,ENG-GHA,GHA,GHA,away,0,0,24,1,0,2,2,3,21.1,2,1,1,172,0.7,8,17,39,Gillette Stadium,"Foxborough, Massachusetts"
