"match_id","competition_name","season_name","competition_stage","match_date","kick_off","referee_name","stadium_name","team_id","team_name","opponent_id","opponent_name","is_home","goals","opponent_goals","result","total_shots","shots_on_target","blocked_shots","xg_total","fouls_committed","fouls_won","yellow_cards","red_cards","corners","offsides","passes","passes_completed","pass_pct","clearances","interceptions"
"7570","FIFA World Cup 2018","2018","Group Stage","2018-06-28","18:00:00.000","Damir Skomina","Rostec Arena",782,"Belgium",768,"England",FALSE,1,0,"W",14,3,7,0.9653,16,14,2,0,2,0,569,487,85.6,18,7
"7586","FIFA World Cup 2018","2018","Round of 16","2018-07-03","14:00:00.000","Damir Skomina","Saint-Petersburg Stadium ( Gazprom Arena )",790,"Sweden",773,"Switzerland",TRUE,1,0,"W",12,3,3,0.9105,12,15,1,0,3,0,304,202,66.4,27,6
"7586","FIFA World Cup 2018","2018","Round of 16","2018-07-03","14:00:00.000","Damir Skomina","Saint-Petersburg Stadium ( Gazprom Arena )",773,"Switzerland",790,"Sweden",FALSE,0,1,"L",16,3,9,0.533,16,12,2,1,11,0,615,510,82.9,13,7
"7557","FIFA World Cup 2018","2018","Group Stage","2018-06-25","18:00:00.000","Enrique Cáceres","Mordovia Arena",797,"Iran",780,"Portugal",TRUE,1,1,"D",9,2,2,1.577,16,8,1,0,0,0,239,154,64.4,11,18
"7557","FIFA World Cup 2018","2018","Group Stage","2018-06-25","18:00:00.000","Enrique Cáceres","Mordovia Arena",780,"Portugal",797,"Iran",FALSE,1,1,"D",15,4,3,1.5224,9,16,2,0,5,0,630,534,84.8,10,7
"7542","FIFA World Cup 2018","2018","Group Stage","2018-06-20","12:00:00.000","Mark Geiger","Stadion Luzhniki",780,"Portugal",788,"Morocco",TRUE,1,0,"W",12,2,4,0.885,18,21,1,0,5,0,397,281,70.8,27,6
"7542","FIFA World Cup 2018","2018","Group Stage","2018-06-20","12:00:00.000","Mark Geiger","Stadion Luzhniki",788,"Morocco",780,"Portugal",FALSE,0,1,"L",17,4,2,1.4551,23,17,1,0,7,0,519,382,73.6,13,14
"8656","FIFA World Cup 2018","2018","Semi-finals","2018-07-11","18:00:00.000","Cüneyt Çakιr","Stadion Luzhniki",785,"Croatia",768,"England",TRUE,2,1,"W",22,7,5,2.1413,26,12,2,0,8,0,656,492,75,21,6
"8656","FIFA World Cup 2018","2018","Semi-finals","2018-07-11","18:00:00.000","Cüneyt Çakιr","Stadion Luzhniki",768,"England",785,"Croatia",FALSE,1,2,"L",11,1,4,0.5467,13,24,1,0,4,0,537,403,75,41,5
"7548","FIFA World Cup 2018","2018","Group Stage","2018-06-22","12:00:00.000","Björn Kuipers","Saint-Petersburg Stadium ( Gazprom Arena )",781,"Brazil",795,"Costa Rica",TRUE,2,0,"W",23,9,5,3.0964,11,16,2,0,10,2,750,661,88.1,9,4
"7548","FIFA World Cup 2018","2018","Group Stage","2018-06-22","12:00:00.000","Björn Kuipers","Saint-Petersburg Stadium ( Gazprom Arena )",795,"Costa Rica",781,"Brazil",FALSE,0,2,"L",4,0,1,0.1587,17,11,1,0,1,2,294,205,69.7,28,8
"7578","FIFA World Cup 2018","2018","Group Stage","2018-06-15","12:00:00.000","Björn Kuipers","Ekaterinburg Arena",774,"Egypt",783,"Uruguay",TRUE,0,1,"L",8,3,3,0.3645,16,6,1,0,0,0,469,344,73.3,13,16
"7578","FIFA World Cup 2018","2018","Group Stage","2018-06-15","12:00:00.000","Björn Kuipers","Ekaterinburg Arena",783,"Uruguay",774,"Egypt",FALSE,1,0,"W",16,4,6,1.9408,7,16,0,0,5,0,623,513,82.3,9,21
"7553","FIFA World Cup 2018","2018","Group Stage","2018-06-23","15:00:00.000","Milorad Mažić","Rostov Arena",791,"South Korea",794,"Mexico",TRUE,1,2,"L",17,6,9,0.8218,26,8,3,0,7,0,360,279,77.5,10,5
"7553","FIFA World Cup 2018","2018","Group Stage","2018-06-23","15:00:00.000","Milorad Mažić","Rostov Arena",794,"Mexico",791,"South Korea",FALSE,2,1,"W",14,5,2,1.8776,8,23,0,0,4,0,495,422,85.3,9,13
"7536","FIFA World Cup 2018","2018","Group Stage","2018-06-18","15:00:00.000","Janny Sikazwe","Olimpiyskiy Stadion Fisht",782,"Belgium",798,"Panama",TRUE,3,0,"W",15,6,2,1.2121,17,20,3,0,9,0,610,513,84.1,7,12
"7536","FIFA World Cup 2018","2018","Group Stage","2018-06-18","15:00:00.000","Janny Sikazwe","Olimpiyskiy Stadion Fisht",798,"Panama",782,"Belgium",FALSE,0,3,"L",7,2,0,0.6254,20,16,5,0,3,1,364,284,78,19,15
"7555","FIFA World Cup 2018","2018","Group Stage","2018-06-24","18:00:00.000","César Arturo Ramos Palazuelos","Ak Bars Arena",789,"Poland",769,"Colombia",TRUE,0,3,"L",11,2,5,1.1142,17,10,2,0,7,0,448,340,75.9,25,18
"7555","FIFA World Cup 2018","2018","Group Stage","2018-06-24","18:00:00.000","César Arturo Ramos Palazuelos","Ak Bars Arena",769,"Colombia",789,"Poland",FALSE,3,0,"W",13,3,5,1.3869,11,17,0,0,5,0,548,427,77.9,22,9
"7576","FIFA World Cup 2018","2018","Group Stage","2018-06-15","18:00:00.000","Gianluca Rocchi","Olimpiyskiy Stadion Fisht",780,"Portugal",772,"Spain",TRUE,3,3,"D",10,3,3,1.4346,13,11,1,0,3,0,388,318,82,8,6
