date,team,side,opponent,rest_days
1949-10-09,France,away,Yugoslavia,112
1949-10-30,France,home,Yugoslavia,21
1949-10-30,Yugoslavia,away,France,21
1949-11-13,France,home,Czechoslovakia,14
1949-11-13,Czechoslovakia,away,France,14
1949-12-11,France,home,Yugoslavia,28
1949-12-11,Yugoslavia,away,France,28
1950-04-02,Spain,home,Portugal,287
1950-04-02,Portugal,away,Spain,315
1950-04-09,Portugal,home,Spain,7
1950-04-09,Spain,away,Portugal,7
1950-05-27,France,home,Scotland,167
1950-05-27,Scotland,away,France,6
1950-06-04,Belgium,home,France,17
1950-06-04,France,away,Belgium,8
1950-06-25,Spain,home,United States,77
1950-06-25,United States,away,Spain,277
1950-06-29,Chile,home,Spain,4
1950-06-29,Spain,away,Chile,4
1950-07-02,England,home,Spain,3
1950-07-02,Spain,away,England,3
1950-07-09,Spain,home,Uruguay,7
1950-07-09,Uruguay,away,Spain,7
1950-07-13,Brazil,home,Spain,4
1950-07-13,Spain,away,Brazil,4
1950-07-16,Spain,home,Sweden,3
1950-07-16,Sweden,away,Spain,3
1950-11-01,France,home,Belgium,150
1950-11-01,Belgium,away,France,150
1950-12-10,France,home,Netherlands,39
1950-12-10,Netherlands,away,France,28
1951-02-06,France,home,Yugoslavia,58
1951-02-06,Yugoslavia,away,France,76
1951-02-18,Spain,home,Switzerland,217
1951-02-18,Switzerland,away,Spain,88
1951-05-12,Northern Ireland,home,France,66
1951-05-12,France,away,Northern Ireland,95
1951-05-16,Scotland,home,France,4
1951-05-16,France,away,Scotland,4
1951-06-03,Italy,home,France,28
1951-06-03,France,away,Italy,18
1951-06-10,Belgium,home,Spain,21
1951-06-10,Spain,away,Belgium,112
1951-06-17,Sweden,home,Spain,7
1951-06-17,Spain,away,Sweden,7
1951-10-03,England,home,France,137
1951-10-03,France,away,England,122
1951-10-14,Switzerland,home,France,112
1951-10-14,France,away,Switzerland,11
1951-11-01,France,home,Austria,18
1951-11-01,Austria,away,France,18
1952-03-26,France,home,Sweden,146
1952-03-26,Sweden,away,France,133
1952-04-20,France,home,Portugal,25
1952-04-20,Portugal,away,France,308
1952-05-22,Belgium,home,France,46
1952-05-22,France,away,Belgium,32
1952-06-01,Spain,home,Republic of Ireland,350
1952-06-01,Republic of Ireland,away,Spain,25
1952-06-08,Turkey,home,Spain,7
1952-06-08,Spain,away,Turkey,7
1952-10-05,France,home,Germany,136
1952-10-05,Germany,away,France,154
1952-10-19,Austria,home,France,28
1952-10-19,France,away,Austria,14
1952-11-11,France,home,Northern Ireland,23
1952-11-11,Northern Ireland,away,France,6
1952-11-16,Republic of Ireland,home,France,168
1952-11-16,France,away,Republic of Ireland,5
1952-12-07,Spain,home,Argentina,182
1952-12-07,Argentina,away,Spain,574
1952-12-25,France,home,Belgium,39
1952-12-25,Belgium,away,France,29
1952-12-28,Spain,home,Germany,21
1952-12-28,Germany,away,Spain,7
1953-03-19,Spain,home,Belgium,81
1953-03-19,Belgium,away,Spain,84
1953-05-14,France,home,Wales,140
1953-05-14,Wales,away,France,29
1953-06-11,Sweden,home,France,14
1953-06-11,France,away,Sweden,28
1953-07-05,Argentina,home,Spain,49
1953-07-05,Spain,away,Argentina,108
1953-07-12,Chile,home,Spain,49
1953-07-12,Spain,away,Chile,7
1953-08-09,Catalonia,home,Spain,2121
1953-08-09,Spain,away,Catalonia,28
1953-09-20,Luxembourg,home,France,518
1953-09-20,France,away,Luxembourg,101
1953-10-04,Republic of Ireland,home,France,193
1953-10-04,France,away,Republic of Ireland,14
1953-10-18,Yugoslavia,home,France,135
1953-10-18,France,away,Yugoslavia,14
1953-11-08,Spain,home,Sweden,91
1953-11-08,Sweden,away,Spain,21
1953-11-11,France,home,Switzerland,24
1953-11-11,Switzerland,away,France,52
1953-11-25,France,home,Republic of Ireland,14
1953-11-25,Republic of Ireland,away,France,28
1953-12-17,France,home,Luxembourg,22
1953-12-17,Luxembourg,away,France,50
1954-01-06,Spain,home,Turkey,59
1954-01-06,Turkey,away,Spain,215
1954-03-14,Turkey,home,Spain,67
1954-03-14,Spain,away,Turkey,67
1954-03-17,Turkey,home,Spain,3
1954-03-17,Spain,away,Turkey,3
1954-04-11,France,home,Italy,115
1954-04-11,Italy,away,France,77
1954-05-30,Belgium,home,France,21
1954-05-30,France,away,Belgium,49
1954-06-16,France,home,Yugoslavia,17
1954-06-16,Yugoslavia,away,France,31
1954-06-19,France,home,Mexico,3
1954-06-19,Mexico,away,France,3
1954-10-16,Germany,home,France,20
1954-10-16,France,away,Germany,119
1954-11-11,France,home,Belgium,26
1954-11-11,Belgium,away,France,18
1955-03-17,Spain,home,France,365
1955-03-17,France,away,Spain,126
1955-04-03,France,home,Sweden,17
1955-04-03,Sweden,away,France,154
1955-05-15,France,home,England,42
1955-05-15,England,away,France,43
1955-05-18,Spain,home,England,62
1955-05-18,England,away,Spain,3
1955-06-19,Switzerland,home,Spain,31
1955-06-19,Spain,away,Switzerland,32
1955-10-09,Switzerland,home,France,22
1955-10-09,France,away,Switzerland,147
1955-10-23,Russia,home,France,28
1955-10-23,France,away,Russia,14
1955-11-11,France,home,Yugoslavia,19
1955-11-11,Yugoslavia,away,France,12
1955-11-27,Republic of Ireland,home,Spain,39
1955-11-27,Spain,away,Republic of Ireland,161
1955-11-30,England,home,Spain,28
1955-11-30,Spain,away,England,3
1955-12-25,Belgium,home,France,70
1955-12-25,France,away,Belgium,44
1956-02-15,Italy,home,France,59
1956-02-15,France,away,Italy,52
1956-03-25,France,home,Austria,39
1956-03-25,Austria,away,France,123
1956-06-03,Portugal,home,Spain,56
1956-06-03,Spain,away,Portugal,186
1956-10-07,France,home,Hungary,196
1956-10-07,Hungary,away,France,14
1956-10-21,France,home,Russia,14
1956-10-21,Russia,away,France,28
1956-11-11,France,home,Belgium,21
1956-11-11,Belgium,away,France,28
1957-01-30,Spain,home,Netherlands,241
1957-01-30,Netherlands,away,Spain,87
1957-03-10,Spain,home,Switzerland,39
1957-03-10,Switzerland,away,Spain,109
1957-03-31,Belgium,home,Spain,98
1957-03-31,Spain,away,Belgium,21
1957-05-08,Scotland,home,Spain,32
1957-05-08,Spain,away,Scotland,38
1957-05-26,Spain,home,Scotland,18
1957-05-26,Scotland,away,Spain,4
1957-06-02,France,home,Iceland,203
1957-06-02,Iceland,away,France,338
1957-09-01,Iceland,home,France,53
1957-09-01,France,away,Iceland,91
1957-10-06,Hungary,home,France,14
1957-10-06,France,away,Hungary,35
1957-10-27,Belgium,home,France,53
1957-10-27,France,away,Belgium,21
1957-11-24,Switzerland,home,Spain,18
