date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1907-03-18,England,Wales,1,1,British Home Championship,FALSE,30,1730.5454,1386.6200
1907-04-06,England,Scotland,1,1,British Home Championship,FALSE,30,1717.7073,1598.3027
1908-02-15,Northern Ireland,England,1,3,British Home Championship,FALSE,30,1290.1273,1709.3210
1908-03-16,Wales,England,1,7,British Home Championship,FALSE,30,1395.0865,1715.5021
1908-04-04,Scotland,England,1,1,British Home Championship,FALSE,30,1623.8362,1729.4927
1908-06-06,Austria,England,1,6,Friendly,FALSE,20,1514.0151,1729.2485
1908-06-08,Austria,England,1,11,Friendly,FALSE,20,1507.2983,1742.8481
1908-06-10,Hungary,England,0,7,Friendly,FALSE,20,1505.5746,1759.3466
1908-06-13,Czechoslovakia,England,0,4,Friendly,FALSE,20,1480.4103,1772.4913
1908-08-15,Uruguay,Argentina,2,2,Copa Lipton,FALSE,30,1454.9941,1531.9986
1908-09-13,Argentina,Uruguay,2,1,Copa Newton,FALSE,30,1532.9900,1454.0028
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,FALSE,30,1540.8806,1446.1122
1909-02-13,England,Northern Ireland,4,0,British Home Championship,FALSE,30,1781.8166,1294.2714
1909-03-15,England,Wales,2,0,British Home Championship,FALSE,30,1783.6648,1379.6653
1909-04-03,England,Scotland,2,0,British Home Championship,FALSE,30,1786.0089,1607.5865
1909-05-29,Hungary,England,2,4,Friendly,FALSE,20,1512.2546,1793.5509
1909-05-31,Hungary,England,2,8,Friendly,FALSE,20,1500.6992,1801.3644
1909-06-01,Austria,England,1,8,Friendly,FALSE,20,1471.5435,1811.5455
1909-08-15,Argentina,Uruguay,2,1,Copa Lipton,FALSE,30,1518.2544,1468.7384
1909-09-19,Uruguay,Argentina,2,2,Copa Newton,FALSE,30,1459.8225,1527.1703
1909-10-10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,FALSE,30,1528.5758,1458.4169
1910-02-12,Northern Ireland,England,1,1,British Home Championship,FALSE,30,1271.8186,1820.5796
1910-03-14,Wales,England,0,1,British Home Championship,FALSE,30,1388.3793,1807.6863
1910-04-02,Scotland,England,2,0,British Home Championship,FALSE,30,1581.0196,1811.8047
1910-05-27,Argentina,Chile,3,1,Friendly,FALSE,20,1540.8603,1500.0000
1910-06-05,Argentina,Chile,5,1,Friendly,FALSE,20,1550.0915,1471.0328
1910-06-12,Argentina,Uruguay,4,1,Friendly,FALSE,20,1559.9518,1465.8685
1910-08-15,Uruguay,Argentina,3,1,Copa Lipton,FALSE,30,1457.2401,1568.5802
1910-09-11,Chile,Argentina,0,3,Friendly,FALSE,20,1461.1725,1545.3460
1910-11-13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,FALSE,30,1563.6426,1480.4742
1910-11-27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,FALSE,30,1556.3941,1487.7228
1911-02-11,England,Northern Ireland,2,1,British Home Championship,FALSE,30,1781.2136,1279.3091
1911-03-13,England,Wales,3,0,British Home Championship,FALSE,30,1782.1235,1417.2032
1911-04-01,England,Scotland,1,1,British Home Championship,FALSE,30,1785.5038,1610.9762
1911-08-15,Argentina,Uruguay,0,2,Copa Lipton,FALSE,30,1515.5954,1528.5214
1911-09-17,Uruguay,Argentina,2,3,Copa Newton,FALSE,30,1556.5452,1487.5717
1911-10-08,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,FALSE,30,1534.7755,1509.3413
1911-10-22,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,FALSE,30,1514.5331,1529.5837
1911-10-29,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,FALSE,30,1512.4780,1531.6389
1912-02-10,Northern Ireland,England,1,6,British Home Championship,FALSE,30,1274.8894,1775.6263
1912-03-11,Wales,England,0,2,British Home Championship,FALSE,30,1409.4470,1781.0599
1912-03-23,Scotland,England,1,1,British Home Championship,FALSE,30,1635.0253,1788.8512
1912-08-15,Uruguay,Argentina,2,0,Copa Lipton,FALSE,30,1532.7282,1511.3887
1912-08-25,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,FALSE,30,1547.6748,1496.4420
