date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,data_source
1959-11-18,Chile,Argentina,4,2,Friendly,Santiago,Chile,FALSE,data/international_results/results.csv
1959-11-18,England,Northern Ireland,2,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1959-12-09,Argentina,Paraguay,4,2,Copa América,Guayaquil,Ecuador,TRUE,data/international_results/results.csv
1959-12-12,Ecuador,Argentina,1,1,Copa América,Guayaquil,Ecuador,FALSE,data/international_results/results.csv
1959-12-16,Argentina,Uruguay,0,5,Copa América,Guayaquil,Ecuador,TRUE,data/international_results/results.csv
1959-12-22,Argentina,Brazil,4,1,Copa América,Guayaquil,Ecuador,TRUE,data/international_results/results.csv
1960-03-08,Costa Rica,Argentina,0,0,Pan American Championship,San José,Costa Rica,FALSE,data/international_results/results.csv
1960-03-10,Argentina,Mexico,3,2,Pan American Championship,San José,Costa Rica,TRUE,data/international_results/results.csv
1960-03-13,Argentina,Brazil,2,1,Pan American Championship,San José,Costa Rica,TRUE,data/international_results/results.csv
1960-03-15,Costa Rica,Argentina,0,2,Pan American Championship,San José,Costa Rica,FALSE,data/international_results/results.csv
1960-03-17,Argentina,Mexico,2,0,Pan American Championship,San José,Costa Rica,TRUE,data/international_results/results.csv
1960-03-20,Argentina,Brazil,0,1,Pan American Championship,San José,Costa Rica,TRUE,data/international_results/results.csv
1960-04-09,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1960-05-11,England,Yugoslavia,3,3,Friendly,London,England,FALSE,data/international_results/results.csv
1960-05-15,Spain,England,3,0,Friendly,Madrid,Spain,FALSE,data/international_results/results.csv
1960-05-22,Hungary,England,2,0,Friendly,Budapest,Hungary,FALSE,data/international_results/results.csv
1960-05-26,Argentina,Brazil,4,2,Copa Roca,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1960-05-29,Argentina,Brazil,1,4,Copa Roca,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1960-07-09,Argentina,Paraguay,1,0,Atlantic Cup,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1960-07-12,Brazil,Argentina,5,1,Atlantic Cup,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1960-07-24,Argentina,Spain,2,0,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1960-08-17,Argentina,Uruguay,4,0,Atlantic Cup,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1960-10-08,Northern Ireland,England,2,5,British Home Championship,Belfast,Northern Ireland,FALSE,data/international_results/results.csv
1960-10-19,Luxembourg,England,0,9,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE,data/international_results/results.csv
1960-10-26,England,Spain,4,2,Friendly,London,England,FALSE,data/international_results/results.csv
1960-11-23,England,Wales,5,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1960-12-04,Ecuador,Argentina,3,6,FIFA World Cup qualification,Guayaquil,Ecuador,FALSE,data/international_results/results.csv
1960-12-17,Argentina,Ecuador,5,0,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1961-04-15,England,Scotland,9,3,British Home Championship,London,England,FALSE,data/international_results/results.csv
1961-05-10,England,Mexico,8,0,Friendly,London,England,FALSE,data/international_results/results.csv
1961-05-17,Paraguay,Argentina,0,0,Friendly,Asunción,Paraguay,FALSE,data/international_results/results.csv
1961-05-21,Portugal,England,1,1,FIFA World Cup qualification,Oeiras,Portugal,FALSE,data/international_results/results.csv
1961-05-24,Italy,England,2,3,Friendly,Rome,Italy,FALSE,data/international_results/results.csv
1961-05-27,Austria,England,3,1,Friendly,Vienna,Austria,FALSE,data/international_results/results.csv
1961-06-04,Portugal,Argentina,0,2,Friendly,Oeiras,Portugal,FALSE,data/international_results/results.csv
1961-06-11,Spain,Argentina,2,0,Friendly,Seville,Spain,FALSE,data/international_results/results.csv
1961-06-15,Italy,Argentina,4,1,Friendly,Florence,Italy,FALSE,data/international_results/results.csv
1961-06-19,Czechoslovakia,Argentina,3,3,Friendly,Brno,Czechoslovakia,FALSE,data/international_results/results.csv
1961-06-24,Russia,Argentina,0,0,Friendly,Moscow,Soviet Union,FALSE,data/international_results/results.csv
1961-09-28,England,Luxembourg,4,1,FIFA World Cup qualification,London,England,FALSE,data/international_results/results.csv
1961-10-12,Argentina,Paraguay,5,1,Friendly,Avellaneda,Argentina,FALSE,data/international_results/results.csv
1961-10-14,Wales,England,1,1,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1961-10-25,England,Portugal,2,0,FIFA World Cup qualification,London,England,FALSE,data/international_results/results.csv
1961-11-18,Argentina,Russia,1,2,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1961-11-22,England,Northern Ireland,1,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1962-03-13,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,FALSE,data/international_results/results.csv
1962-03-28,Argentina,Mexico,1,0,Friendly,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1962-04-04,England,Austria,3,1,Friendly,London,England,FALSE,data/international_results/results.csv
1962-04-14,Scotland,England,2,0,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1962-05-09,England,Switzerland,3,1,Friendly,London,England,FALSE,data/international_results/results.csv
1962-05-20,Peru,England,0,4,Friendly,Lima,Peru,FALSE,data/international_results/results.csv
1962-05-30,Argentina,Bulgaria,1,0,FIFA World Cup,Rancagua,Chile,TRUE,data/international_results/results.csv
1962-05-31,England,Hungary,1,2,FIFA World Cup,Rancagua,Chile,TRUE,data/international_results/results.csv
