date,team,side,opponent,rest_days
1951-05-19,England,home,Portugal,10
1951-10-03,England,home,France,137
1951-10-20,England,away,Wales,17
1951-11-14,England,home,Northern Ireland,25
1951-11-28,England,home,Austria,14
1952-04-05,England,away,Scotland,129
1952-05-18,England,away,Italy,43
1952-05-25,England,away,Austria,7
1952-05-28,England,away,Switzerland,3
1952-10-04,England,away,Northern Ireland,129
1952-11-12,England,home,Wales,39
1952-11-26,England,home,Belgium,14
1952-12-07,Argentina,away,Spain,574
1952-12-14,Argentina,away,Portugal,7
1953-04-18,England,home,Scotland,143
1953-05-14,Argentina,home,England,151
1953-05-14,England,away,Argentina,26
1953-05-17,Argentina,home,England,3
1953-05-17,England,away,Argentina,3
1953-05-24,England,away,Chile,7
1953-05-31,England,away,Uruguay,7
1953-06-08,England,away,United States,8
1953-07-05,Argentina,home,Spain,49
1953-10-10,England,away,Wales,124
1953-11-11,England,home,Northern Ireland,32
1953-11-25,England,home,Hungary,14
1954-04-03,England,away,Scotland,129
1954-05-16,England,away,Yugoslavia,43
1954-05-23,England,away,Hungary,7
1954-06-17,England,away,Belgium,25
1954-06-20,England,away,Switzerland,3
1954-06-26,England,home,Uruguay,6
1954-10-02,England,away,Northern Ireland,98
1954-11-10,England,home,Wales,39
1954-11-28,Argentina,away,Portugal,511
1954-12-01,England,home,Germany,21
1954-12-05,Argentina,away,Italy,7
1955-03-02,Argentina,home,Paraguay,87
1955-03-09,Argentina,home,Ecuador,7
1955-03-16,Argentina,home,Peru,7
1955-03-27,Argentina,home,Uruguay,11
1955-03-30,Argentina,away,Chile,3
1955-04-02,England,home,Scotland,122
1955-05-15,England,away,France,43
1955-05-18,England,away,Spain,3
1955-05-22,England,away,Portugal,4
1955-10-02,England,away,Denmark,133
1955-10-22,England,away,Wales,20
1955-11-02,England,home,Northern Ireland,11
1955-11-30,England,home,Spain,28
1956-01-22,Argentina,home,Peru,298
1956-01-29,Argentina,home,Chile,7
1956-02-01,Argentina,home,Paraguay,3
1956-02-05,Argentina,home,Brazil,4
1956-02-15,Argentina,away,Uruguay,10
1956-02-28,Argentina,home,Peru,13
1956-03-06,Argentina,home,Costa Rica,7
1956-03-11,Argentina,home,Chile,5
1956-03-13,Argentina,away,Mexico,2
1956-03-18,Argentina,home,Brazil,5
1956-04-14,England,away,Scotland,136
1956-05-09,England,home,Brazil,25
1956-05-16,England,away,Sweden,7
1956-05-20,England,away,Finland,4
1956-05-26,England,away,Germany,6
1956-06-24,Argentina,home,Italy,98
1956-07-01,Argentina,away,Uruguay,7
1956-07-08,Argentina,home,Brazil,7
1956-08-15,Argentina,away,Paraguay,38
1956-08-19,Argentina,home,Czechoslovakia,4
1956-10-06,England,away,Northern Ireland,133
1956-10-10,Argentina,away,Uruguay,52
1956-11-14,Argentina,home,Uruguay,35
1956-11-14,England,home,Wales,39
1956-11-28,England,home,Yugoslavia,14
1956-12-05,England,home,Denmark,7
1957-03-13,Argentina,home,Colombia,119
1957-03-17,Argentina,home,Ecuador,4
1957-03-20,Argentina,home,Uruguay,3
1957-03-28,Argentina,home,Chile,8
1957-04-03,Argentina,home,Brazil,6
1957-04-06,England,home,Scotland,122
1957-04-06,Argentina,away,Peru,3
1957-04-09,Argentina,away,Peru,3
1957-05-08,England,home,Republic of Ireland,32
1957-05-15,England,away,Denmark,7
1957-05-19,England,away,Republic of Ireland,4
1957-05-23,Argentina,away,Uruguay,44
1957-06-05,Argentina,home,Uruguay,13
1957-07-07,Argentina,away,Brazil,32
1957-07-10,Argentina,away,Brazil,3
1957-10-06,Argentina,away,Bolivia,88
1957-10-13,Argentina,away,Chile,7
1957-10-19,England,away,Wales,153
1957-10-20,Argentina,home,Chile,7
1957-10-27,Argentina,home,Bolivia,7
1957-11-06,England,home,Northern Ireland,18
1957-11-27,England,home,France,21
1958-04-06,Argentina,away,Uruguay,161
1958-04-19,England,away,Scotland,143
1958-04-20,Argentina,away,Paraguay,14
1958-04-26,Argentina,home,Paraguay,6
1958-04-30,Argentina,home,Uruguay,4
1958-05-07,England,home,Portugal,18
1958-05-11,England,away,Yugoslavia,4
1958-05-18,England,away,Russia,7
1958-06-08,Argentina,home,Germany,39
1958-06-08,England,home,Russia,21
1958-06-11,Argentina,home,Northern Ireland,3
1958-06-11,England,away,Brazil,3
1958-06-15,Argentina,home,Czechoslovakia,4
1958-06-15,England,away,Austria,4
1958-06-17,England,home,Russia,2
1958-10-04,England,away,Northern Ireland,109
1958-10-22,England,home,Russia,18
1958-11-26,England,home,Wales,35
1959-03-07,Argentina,home,Chile,265
1959-03-11,Argentina,home,Bolivia,4
1959-03-18,Argentina,home,Peru,7
1959-03-22,Argentina,home,Paraguay,4
1959-03-30,Argentina,home,Uruguay,8
1959-04-04,Argentina,home,Brazil,5
1959-04-11,England,home,Scotland,136
1959-05-06,England,home,Italy,25
1959-05-13,England,away,Brazil,7
1959-05-17,England,away,Peru,4
1959-05-24,England,away,Mexico,7
1959-05-28,England,away,United States,4
1959-10-17,England,away,Wales,142
1959-10-28,England,home,Sweden,11
1959-11-18,Argentina,away,Chile,228
1959-11-18,England,home,Northern Ireland,21
1959-12-09,Argentina,home,Paraguay,21
1959-12-12,Argentina,away,Ecuador,3
1959-12-16,Argentina,home,Uruguay,4
1959-12-22,Argentina,home,Brazil,6
1960-03-08,Argentina,away,Costa Rica,77
1960-03-10,Argentina,home,Mexico,2
1960-03-13,Argentina,home,Brazil,3
1960-03-15,Argentina,away,Costa Rica,2
1960-03-17,Argentina,home,Mexico,2
1960-03-20,Argentina,home,Brazil,3
1960-04-09,England,away,Scotland,143
1960-05-11,England,home,Yugoslavia,32
1960-05-15,England,away,Spain,4
1960-05-22,England,away,Hungary,7
1960-05-26,Argentina,home,Brazil,67
1960-05-29,Argentina,home,Brazil,3
1960-07-09,Argentina,home,Paraguay,41
1960-07-12,Argentina,away,Brazil,3
1960-07-24,Argentina,home,Spain,12
1960-08-17,Argentina,home,Uruguay,24
1960-10-08,England,away,Northern Ireland,139
1960-10-19,England,away,Luxembourg,11
1960-10-26,England,home,Spain,7
1960-11-23,England,home,Wales,28
1960-12-04,Argentina,away,Ecuador,109
1960-12-17,Argentina,home,Ecuador,13
1961-04-15,England,home,Scotland,143
1961-05-10,England,home,Mexico,25
1961-05-17,Argentina,away,Paraguay,151
1961-05-21,England,away,Portugal,11
1961-05-24,England,away,Italy,3
1961-05-27,England,away,Austria,3
1961-06-04,Argentina,away,Portugal,18
1961-06-11,Argentina,away,Spain,7
1961-06-15,Argentina,away,Italy,4
1961-06-19,Argentina,away,Czechoslovakia,4
1961-06-24,Argentina,away,Russia,5
1961-09-28,England,home,Luxembourg,124
1961-10-12,Argentina,home,Paraguay,110
1961-10-14,England,away,Wales,16
1961-10-25,England,home,Portugal,11
1961-11-18,Argentina,home,Russia,37
1961-11-22,England,home,Northern Ireland,28
1962-03-13,Argentina,away,Uruguay,115
1962-03-28,Argentina,home,Mexico,15
1962-04-04,England,home,Austria,133
