match_id,match_date,competition,season,stage,opponent,is_home,home_team,away_team,home_score,away_score,is_starter,minutes_played,shots,shots_on_target,goals,high_stakes_tags
69225,2008-12-13,La Liga,2008/2009,Regular Season,Real Madrid,True,Barcelona,Real Madrid,2,0,True,93.3,5,3,1,El_Clasico
69228,2008-12-21,La Liga,2008/2009,Regular Season,Villarreal,False,Villarreal,Barcelona,1,2,True,95.1,2,0,0,
69230,2009-01-11,La Liga,2008/2009,Regular Season,Osasuna,False,Osasuna,Barcelona,2,3,True,94.5,2,1,1,
69183,2009-01-17,La Liga,2008/2009,Regular Season,RC Deportivo La Coruña,True,Barcelona,RC Deportivo La Coruña,5,0,True,91.1,4,2,1,
69189,2009-01-24,La Liga,2008/2009,Regular Season,CD Numancia de Soria,True,Barcelona,CD Numancia de Soria,4,1,True,92.2,6,4,2,
69209,2009-02-01,La Liga,2008/2009,Regular Season,Racing Santander,False,Racing Santander,Barcelona,1,2,False,35.2,2,2,2,
69231,2009-02-08,La Liga,2008/2009,Regular Season,Sporting Gijón,True,Barcelona,Sporting Gijón,3,1,True,92.9,3,1,0,
69195,2009-02-14,La Liga,2008/2009,Regular Season,Real Betis,False,Real Betis,Barcelona,2,2,False,37.1,3,1,0,
69139,2009-02-21,La Liga,2008/2009,Regular Season,Espanyol,True,Barcelona,Espanyol,1,2,True,93.0,4,1,0,
69185,2009-03-01,La Liga,2008/2009,Regular Season,Atlético Madrid,False,Atlético Madrid,Barcelona,4,3,True,94.0,3,1,1,
69216,2009-03-07,La Liga,2008/2009,Regular Season,Athletic Club,True,Barcelona,Athletic Club,2,0,True,94.2,2,1,1,
69177,2009-03-15,La Liga,2008/2009,Regular Season,Almería,False,Almería,Barcelona,0,2,True,92.0,3,1,0,
69142,2009-03-22,La Liga,2008/2009,Regular Season,Málaga,True,Barcelona,Málaga,6,0,True,92.2,4,2,1,
69273,2009-04-04,La Liga,2008/2009,Regular Season,Real Valladolid,False,Real Valladolid,Barcelona,0,1,False,35.9,1,0,0,
69222,2009-04-11,La Liga,2008/2009,Regular Season,Recreativo Huelva,True,Barcelona,Recreativo Huelva,2,0,True,93.0,3,1,0,
69223,2009-04-18,La Liga,2008/2009,Regular Season,Getafe,False,Getafe,Barcelona,0,1,True,92.1,5,2,1,
69251,2009-04-25,La Liga,2008/2009,Regular Season,Valencia,False,Valencia,Barcelona,2,2,True,94.8,3,2,1,
69249,2009-05-02,La Liga,2008/2009,Regular Season,Real Madrid,False,Real Madrid,Barcelona,2,6,True,90.1,7,4,2,El_Clasico
69217,2009-05-10,La Liga,2008/2009,Regular Season,Villarreal,True,Barcelona,Villarreal,3,3,True,89.4,2,0,0,
3750201,2009-05-27,Champions League,2008/2009,Final,Manchester United,True,Barcelona,Manchester United,2,0,True,93.3,2,1,1,CL_knockout_R16plus;CL_final
69229,2009-09-12,La Liga,2009/2010,Regular Season,Getafe,False,Getafe,Barcelona,0,2,False,34.4,2,2,1,
69292,2009-09-19,La Liga,2009/2010,Regular Season,Atlético Madrid,True,Barcelona,Atlético Madrid,5,2,True,94.3,2,2,2,
69254,2009-09-22,La Liga,2009/2010,Regular Season,Racing Santander,False,Racing Santander,Barcelona,1,4,True,63.5,4,2,2,
69255,2009-09-26,La Liga,2009/2010,Regular Season,Málaga,False,Málaga,Barcelona,0,2,True,92.5,3,2,0,
69256,2009-10-03,La Liga,2009/2010,Regular Season,Almería,True,Barcelona,Almería,1,0,True,93.3,3,1,0,
69252,2009-10-17,La Liga,2009/2010,Regular Season,Valencia,False,Valencia,Barcelona,0,0,True,94.2,2,1,0,
69253,2009-10-25,La Liga,2009/2010,Regular Season,Real Zaragoza,True,Barcelona,Real Zaragoza,6,1,True,90.7,7,5,1,
69277,2009-10-31,La Liga,2009/2010,Regular Season,Osasuna,False,Osasuna,Barcelona,1,1,True,93.5,6,4,0,
69250,2009-11-07,La Liga,2009/2010,Regular Season,Mallorca,True,Barcelona,Mallorca,4,2,False,42.9,2,1,1,
69288,2009-11-21,La Liga,2009/2010,Regular Season,Athletic Club,False,Athletic Club,Barcelona,1,1,True,74.9,3,2,0,
69262,2009-11-29,La Liga,2009/2010,Regular Season,Real Madrid,True,Barcelona,Real Madrid,1,0,True,93.1,1,1,0,El_Clasico
69267,2009-12-02,La Liga,2009/2010,Regular Season,Xerez,False,Xerez,Barcelona,0,2,False,38.9,1,0,0,
69218,2009-12-05,La Liga,2009/2010,Regular Season,RC Deportivo La Coruña,False,RC Deportivo La Coruña,Barcelona,1,3,True,92.8,9,5,2,
69219,2010-01-10,La Liga,2009/2010,Regular Season,Tenerife,False,Tenerife,Barcelona,0,5,True,90.5,7,3,3,
69243,2010-01-16,La Liga,2009/2010,Regular Season,Sevilla,True,Barcelona,Sevilla,4,0,True,92.3,8,5,2,
