match_id,competition,date,stage,stage_bucket,is_sf_or_final,team_a,team_b,n_goals_regulation,n_cards_regulation,q5_goal_each_half,q7_stoppage_goal,q8_both_carded,q10_card_before_goal,has_goal,has_card
3930160,Euro2024,2024-06-15,Group Stage,group,False,Spain,Croatia,3,1,False,True,False,False,True,True
3930161,Euro2024,2024-06-15,Group Stage,group,False,Italy,Albania,3,4,False,False,True,False,True,True
3930163,Euro2024,2024-06-16,Group Stage,group,False,Serbia,England,1,2,False,False,False,False,True,True
3938637,Euro2024,2024-06-16,Group Stage,group,False,Poland,Netherlands,3,1,True,False,False,True,True,True
3930162,Euro2024,2024-06-16,Group Stage,group,False,Slovenia,Denmark,2,3,True,False,True,False,True,True
3938638,Euro2024,2024-06-17,Group Stage,group,False,Romania,Ukraine,3,2,True,False,True,False,True,True
3930165,Euro2024,2024-06-17,Group Stage,group,False,Austria,France,1,7,False,False,True,True,True,True
3930164,Euro2024,2024-06-17,Group Stage,group,False,Belgium,Slovakia,1,4,False,False,True,False,True,True
3930166,Euro2024,2024-06-18,Group Stage,group,False,Portugal,Czech Republic,3,3,False,True,True,True,True,True
3938639,Euro2024,2024-06-18,Group Stage,group,False,Turkey,Georgia,4,3,True,True,True,False,True,True
3930169,Euro2024,2024-06-19,Group Stage,group,False,Scotland,Switzerland,2,5,False,False,True,False,True,True
3930167,Euro2024,2024-06-19,Group Stage,group,False,Croatia,Albania,4,4,True,True,True,False,True,True
3930168,Euro2024,2024-06-19,Group Stage,group,False,Germany,Hungary,2,4,True,False,True,False,True,True
3930170,Euro2024,2024-06-20,Group Stage,group,False,Slovenia,Serbia,2,6,False,True,True,True,True,True
3930171,Euro2024,2024-06-20,Group Stage,group,False,Denmark,England,2,4,False,False,True,False,True,True
3930172,Euro2024,2024-06-20,Group Stage,group,False,Spain,Italy,1,5,False,False,True,True,True,True
3938641,Euro2024,2024-06-21,Group Stage,group,False,Poland,Austria,4,6,True,False,True,False,True,True
3938640,Euro2024,2024-06-21,Group Stage,group,False,Slovakia,Ukraine,3,1,True,False,False,False,True,True
3930173,Euro2024,2024-06-21,Group Stage,group,False,Netherlands,France,0,1,False,False,False,True,False,True
3939969,CopaAmerica2024,2024-06-21,Group Stage,group,False,Argentina,Canada,2,4,False,False,True,False,True,True
3938642,Euro2024,2024-06-22,Group Stage,group,False,Georgia,Czech Republic,2,9,True,True,True,True,True,True
3930174,Euro2024,2024-06-22,Group Stage,group,False,Turkey,Portugal,3,5,True,False,True,False,True,True
3930175,Euro2024,2024-06-22,Group Stage,group,False,Belgium,Romania,2,3,True,False,True,False,True,True
3939970,CopaAmerica2024,2024-06-22,Group Stage,group,False,Peru,Chile,0,4,False,False,True,True,False,True
3939972,CopaAmerica2024,2024-06-22,Group Stage,group,False,Ecuador,Venezuela,3,5,True,False,True,True,True,True
3930176,Euro2024,2024-06-23,Group Stage,group,False,Switzerland,Germany,2,4,True,True,True,True,True,True
3930177,Euro2024,2024-06-23,Group Stage,group,False,Scotland,Hungary,1,6,False,True,True,True,True,True
3939974,CopaAmerica2024,2024-06-23,Group Stage,group,False,United States,Bolivia,2,5,False,False,True,False,True,True
3939971,CopaAmerica2024,2024-06-23,Group Stage,group,False,Mexico,Jamaica,1,0,False,False,False,False,True,False
3930178,Euro2024,2024-06-24,Group Stage,group,False,Croatia,Italy,2,8,False,True,True,True,True,True
3930179,Euro2024,2024-06-24,Group Stage,group,False,Albania,Spain,1,3,False,False,True,False,True,True
3939975,CopaAmerica2024,2024-06-24,Group Stage,group,False,Colombia,Paraguay,3,3,True,False,True,True,True,True
3939973,CopaAmerica2024,2024-06-24,Group Stage,group,False,Uruguay,Panama,4,1,True,True,False,False,True,True
3930181,Euro2024,2024-06-25,Group Stage,group,False,England,Slovenia,0,5,False,False,True,True,False,True
3938643,Euro2024,2024-06-25,Group Stage,group,False,France,Poland,2,4,False,False,True,True,True,True
3930180,Euro2024,2024-06-25,Group Stage,group,False,Netherlands,Austria,5,3,True,False,False,False,True,True
3930182,Euro2024,2024-06-25,Group Stage,group,False,Denmark,Serbia,0,4,False,False,True,True,False,True
