event_id,date,team_a,team_b,outcome_a_first,shrunk_gap_b_minus_a,elo_diff,n_prior_a,n_prior_b,p_model,brier_model,brier_baseline
760479,2026-06-27,Uruguay,Spain,1,2.2015738498789403,-537.9444000000003,2,1,0.6344810377074382,0.1336041117954312,0.25
760480,2026-06-27,Croatia,Ghana,0,1.1428571428571388,526.9173999999998,2,2,0.42032127175931616,0.1766699714933689,0.25
760481,2026-06-27,Colombia,Portugal,0,-4.286690085870411,59.986399999999776,2,1,0.5113284337258196,0.2614567671364999,0.25
760482,2026-06-27,Congo DR,Uzbekistan,1,-0.2953149001536062,0.0,2,1,0.5195966335881234,0.23078739445986382,0.25
760485,2026-06-27,Panama,England,1,-0.4285714285714306,-605.4045999999994,2,2,0.6665257109426197,0.11120510146232523,0.25
760483,2026-06-28,Jordan,Argentina,1,-6.571428571428569,-991.8032000000003,2,2,0.738985079389259,0.06812878878143146,0.25
760484,2026-06-28,Algeria,Austria,0,0.4285714285714306,-46.923199999999724,2,2,0.5535596884721278,0.30642832870135917,0.25
760486,2026-06-28,South Africa,Canada,1,0.125,-288.17880000000014,3,3,0.6098248097909982,0.15223667905463076,0.25
760487,2026-06-29,Brazil,Japan,1,3.5,203.70560000000023,3,3,0.47822066907926036,0.27225367017609475,0.25
760489,2026-06-29,Germany,Paraguay,1,0.06372549019607732,183.56079999999974,3,1,0.49477247213703146,0.25525485491052663,0.25
760488,2026-06-30,Netherlands,Morocco,1,4.0,45.70080000000007,3,3,0.5664310714439686,0.18798201580922502,0.25
760490,2026-06-30,Ivory Coast,Norway,1,-5.843112244897959,-256.5634,2,3,0.5711899069929736,0.18387809586469467,0.25
760492,2026-06-30,France,Sweden,0,-7.0,755.8058000000005,3,3,0.31716138356921797,0.10059134322754061,0.25
760491,2026-07-01,Mexico,Ecuador,0,-4.325644841269842,53.498999999999796,3,2,0.508227748055141,0.2582954438931999,0.25
760493,2026-07-01,Belgium,Senegal,1,2.0,96.40340000000015,3,3,0.5583479601824082,0.19505652427503972,0.25
760495,2026-07-01,England,Congo DR,1,-5.875,0.0,3,3,0.4753323070121644,0.2752761880651777,0.25
760494,2026-07-02,United States,Bosnia-Herzegovina,0,-1.0,0.0,2,2,0.5622673990279554,0.31614462800966203,0.25
760496,2026-07-02,Portugal,Croatia,0,3.153312969924812,180.0582000000004,2,3,0.5445513365930168,0.2965361581852411,0.25
760497,2026-07-02,Spain,Austria,0,-4.199443413729128,630.0927999999999,2,3,0.3353804173109608,0.11248002431567422,0.25
760498,2026-07-03,Switzerland,Algeria,0,-3.75,202.02559999999994,3,3,0.4532394279319155,0.20542597903205004,0.25
760499,2026-07-03,Australia,Egypt,1,-4.75,107.12199999999984,3,3,0.45858438935075296,0.2931308634546971,0.25
760500,2026-07-03,Argentina,Cape Verde,1,0.625,1043.6841999999997,3,3,0.2406157281723615,0.5766644722991927,0.25
760501,2026-07-04,Colombia,Ghana,1,-4.25,799.8196000000003,3,3,0.3089697074725853,0.47752286519052445,0.25
760502,2026-07-04,Canada,Morocco,0,7.888888888888893,-313.1127999999999,4,4,0.6822377532363731,0.46544835194101436,0.25
760503,2026-07-04,Paraguay,France,1,8.719257984318219,-582.5314000000003,2,4,0.6610454607582673,0.11489017967257531,0.25
760504,2026-07-05,Brazil,Norway,0,0.7777777777777786,213.05780000000004,4,4,0.5064225537620197,0.25646380295884574,0.25
760505,2026-07-06,Mexico,England,1,0.3333333333333357,-136.3134,4,4,0.5825676614155436,0.17424975729608824,0.25
760506,2026-07-06,Portugal,Spain,1,6.25,-287.90679999999975,3,3,0.6331494708548081,0.13457931073410728,0.25
760507,2026-07-07,United States,Belgium,0,-7.422094508301406,-171.87800000000016,3,4,0.5723048187755065,0.3275328055936654,0.25
760508,2026-07-07,Switzerland,Colombia,1,-9.222222222222221,-159.66520000000037,4,4,0.5073332915241637,0.24272048564041465,0.25
760509,2026-07-07,Argentina,Egypt,0,-3.555555555555557,726.0691999999999,4,4,0.3631394635145067,0.13187026996160375,0.25
760510,2026-07-09,France,Morocco,0,-3.3000000000000043,281.7398000000003,5,5,0.46387632820323804,0.2151812478673182,0.25
760511,2026-07-10,Spain,Belgium,1,-10.316666666666663,426.81600000000026,4,5,0.37088957102525644,0.3957799318447859,0.25
760512,2026-07-11,Norway,England,0,7.100000000000001,-201.90380000000005,5,5,0.6130982880616638,0.37588951082414285,0.25
760513,2026-07-12,Argentina,Switzerland,1,3.5,424.96280000000024,5,5,0.4217321067361879,0.3343937563797676,0.25
