"family","match_id","match_date","team_name","opponent_name","actual","n_prior","lambda_baseline","lambda_global","lambda_hier","nll_baseline","nll_global","nll_hier","threshold","brier_baseline","brier_hier"
"cards",760429,"2026-06-15","Saudi Arabia","Uruguay",1,6,2.13149350649351,1.68928571428571,2.13503849369447,1.37467059572423,1.16497992896303,1.37655381734294,2,0.394908129469717,0.39603475994795
"cards",760429,"2026-06-15","Uruguay","Saudi Arabia",0,8,1.49587912087912,1.68928571428571,1.00660566228515,1.49587912087912,1.68928571428571,1.00660566228515,1,0.602095997475985,0.402644359000868
"cards",760430,"2026-06-16","Iraq","Norway",1,0,1.67013888888889,1.67013888888889,1.71546576142285,1.15723209891907,1.15723209891907,1.17578113667182,2,0.247430632183691,0.261675459087271
"cards",760430,"2026-06-16","Norway","Iraq",0,0,1.67013888888889,1.67013888888889,0.994405896114435,1.67013888888889,1.67013888888889,0.994405896114435,2,0.247430632183691,0.0687400159995947
"cards",760432,"2026-06-16","France","Senegal",0,14,1.38687865497076,1.67013888888889,0.967328834273864,1.38687865497076,1.67013888888889,0.967328834273864,1,0.562719067519166,0.384279747597211
"cards",760432,"2026-06-16","Senegal","France",0,7,1.6958912037037,1.67013888888889,1.62730226117817,1.6958912037037,1.67013888888889,1.62730226117817,2,0.255507371886137,0.234104249153916
"cards",760433,"2026-06-16","Argentina","Algeria",0,11,2.27191840277778,1.67013888888889,1.22636194643733,2.27191840277778,1.67013888888889,1.22636194643733,2,0.439063715130659,0.12032514896757
"cards",760433,"2026-06-16","Algeria","Argentina",0,0,1.67013888888889,1.67013888888889,1.85272754533797,1.67013888888889,1.67013888888889,1.85272754533797,2,0.247430632183691,0.305440802997306
"cards",760431,"2026-06-17","Austria","Jordan",1,0,1.63945578231292,1.63945578231293,0.989769449490989,1.14509143560101,1.14509143560101,1.00005269176712,2,0.237870349193193,0.0678485667873697
"cards",760431,"2026-06-17","Jordan","Austria",0,0,1.63945578231292,1.63945578231293,1.26545203592228,1.63945578231292,1.63945578231293,1.26545203592228,2,0.237870349193193,0.130241143302771
"cards",760434,"2026-06-17","Ghana","Panama",1,3,2.02465986394558,1.63945578231293,1.49958747748476,1.31925814591729,1.14509143560101,1.09439742221032,2,0.360753636894954,0.195396285734328
"cards",760434,"2026-06-17","Panama","Ghana",2,3,2.14965986394558,1.63945578231293,0.945133477135804,1.31218779088917,1.34387426944903,1.75113888932829,2,0.134696552032547,0.571434305542415
"cards",760435,"2026-06-17","Portugal","DR Congo",3,9,1.3712342079689,1.63945578231293,0.770968640974033,2.21586002914066,1.94812221140522,3.34305084849633,1,0.0644111569740843,0.21396618682223
"cards",760435,"2026-06-17","DR Congo","Portugal",1,0,1.63945578231292,1.63945578231293,1.54880069992278,1.14509143560101,1.14509143560101,1.11131981046976,2,0.237870349193193,0.21010583632685
"cards",760436,"2026-06-17","Uzbekistan","Colombia",1,0,1.63945578231292,1.63945578231293,1.46777592787995,1.14509143560101,1.14509143560101,1.0840276470219,2,0.237870349193193,0.186047354071281
"cards",760436,"2026-06-17","Colombia","Uzbekistan",1,4,2.02191987906274,1.63945578231293,0.962425519558763,1.31787238384758,1.14509143560101,1.00072411764973,2,0.359873656656093,0.0627109543129266
"cards",760437,"2026-06-17","England","Croatia",0,12,1.01160464185674,1.63945578231293,0.795057512797044,1.01160464185674,1.63945578231293,0.795057512797044,1,0.404960404048064,0.300791628479545
"cards",760437,"2026-06-17","Croatia","England",0,14,1.58933046902972,1.63945578231293,1.25506567174497,1.58933046902972,1.63945578231293,1.25506567174497,2,0.222421225841855,0.127575736138832
"cards",760438,"2026-06-18","Czech Republic","South Africa",1,1,1.34868421052632,1.61842105263158,0.919398682037878,1.04955475223418,1.13697003754549,1.00343411115133,1,0.0673826022625543,0.159008540546464
"cards",760438,"2026-06-18","South Africa","Czech Republic",2,1,2.01535087719298,1.61842105263158,1.35775089782445,1.30691143207033,1.34866620301935,1.43923892000113,2,0.161496896501444,0.367847994278627
"cards",760439,"2026-06-18","Switzerland","Bosnia and Herzegovina",1,9,1.86372180451128,1.61842105263158,0.924835194516246,1.24114634589307,1.13697003754549,1.00297491995032,2,0.308972560158327,0.0559874009259438
"cards",760439,"2026-06-18","Bosnia and Herzegovina","Switzerland",3,1,1.84868421052632,1.61842105263158,1.49620408618386,1.79702123429196,1.96582747660137,2.07916968093096,2,0.201160132954366,0.312589094686656
"cards",760440,"2026-06-18","Canada","Qatar",1,4,2.01023391812866,1.61842105263158,0.899820837054538,1.31198282565053,1.13697003754549,1.00538044246882,2,0.35611901697996,0.0517344528586199
"cards",760440,"2026-06-18","Qatar","Canada",3,4,1.89912280701754,1.61842105263158,1.52109972922412,1.76670597910145,1.96582747660137,2.05455846048514,2,0.188354549197805,0.303367892042004
"cards",760441,"2026-06-18","Mexico","South Korea",0,8,2.00708502024292,1.61842105263158,1.12760815727129,2.00708502024292,1.61842105263158,1.12760815727129,2,0.35510689269923,0.0967620288434774
"cards",760441,"2026-06-18","South Korea","Mexico",2,8,1.85323886639676,1.61842105263158,1.22996385030767,1.31251635310342,1.34866620301935,1.50914147295028,2,0.19997395497062,0.424876410495168
"cards",760442,"2026-06-19","United States","Australia",3,5,1.40929487179487,1.61858974358974,1.16129945342423,2.17178587589108,1.96568348842017,2.50444013281953,1,0.0596900616724463,0.098018513307851
"cards",760442,"2026-06-19","Australia","United States",4,8,1.62253451676529,1.61858974358974,1.00425610675996,2.86463057437283,2.87042260807418,4.16532163648857,2,0.267995098566558,0.539039585740992
"cards",760443,"2026-06-19","Turkey","Paraguay",1,1,1.51549145299145,1.61858974358974,1.07918898688143,1.09975167522014,1.13703450212387,1.00297916591328,2,0.200118497309024,0.0860506131660492
"cards",760443,"2026-06-19","Paraguay","Turkey",2,1,2.18215811965812,1.61858974358974,1.39494960433745,1.31467659970493,1.34862644121793,1.4223802075018,2,0.128838319471629,0.352334302366724
"cards",760444,"2026-06-19","Brazil","Haiti",1,11,1.44330929487179,1.61858974358974,0.811768147726271,1.07637069648744,1.13703450212387,1.02030865967566,1,0.0557644566726554,0.19720010675643
"cards",760444,"2026-06-19","Haiti","Brazil",3,1,1.51549145299145,1.61858974358974,1.66618488586993,2.06003158890557,1.96568348842017,1.92633481459917,2,0.305426377506856,0.253834541927147
"cards",760445,"2026-06-19","Scotland","Morocco",1,1,1.84882478632479,1.61858974358974,1.39873301933903,1.23427459972698,1.13703450212387,1.06316617865145,2,0.304187687412782,0.166243590136476
"cards",760445,"2026-06-19","Morocco","Scotland",1,11,1.5683092948718,1.61858974358974,0.93788021608747,1.11831113801314,1.13703450212387,1.00201325561719,2,0.216012524278428,0.0582757410221454
"cards",760446,"2026-06-20","Ecuador","Curaçao",1,4,1.34895833333333,1.628125,0.78995953138577,1.04962564366158,1.14069595404041,1.0257330923129,1,0.0673456701712552,0.205991769933136
