event_id,date,team_a,team_b,stage,n_cards_team_a,n_cards_team_b,n_cards_total,both_teams_carded,card_events,first_card_min,first_card_team,first_card_type,first_card_display
760452,2026-06-22,New Zealand,Egypt,"2026 FIFA World Cup, Group Stage",2,1,3,True,17|Egypt|yellow-card|17';20|New Zealand|yellow-card|20';34|New Zealand|yellow-card|34',17,Egypt,yellow-card,17'
760454,2026-06-23,Norway,Senegal,"2026 FIFA World Cup, Group Stage",0,0,0,False,,,,,
760455,2026-06-23,Jordan,Algeria,"2026 FIFA World Cup, Group Stage",1,1,2,True,44|Algeria|yellow-card|44';64|Jordan|yellow-card|64',44,Algeria,yellow-card,44'
760456,2026-06-22,Argentina,Austria,"2026 FIFA World Cup, Group Stage",2,2,4,True,40|Austria|yellow-card|40';76|Argentina|yellow-card|76';76|Austria|yellow-card|76';90|Argentina|yellow-card|90'+2',40,Austria,yellow-card,40'
760458,2026-06-23,England,Ghana,"2026 FIFA World Cup, Group Stage",1,1,2,True,41|England|yellow-card|41';60|Ghana|yellow-card|60',41,England,yellow-card,41'
760459,2026-06-24,Colombia,Congo DR,"2026 FIFA World Cup, Group Stage",2,1,3,True,56|Colombia|yellow-card|56';90|Congo DR|yellow-card|90'+3';90|Colombia|yellow-card|90'+4',56,Colombia,yellow-card,56'
760460,2026-06-23,Panama,Croatia,"2026 FIFA World Cup, Group Stage",1,1,2,True,61|Panama|yellow-card|61';90|Croatia|yellow-card|90'+2',61,Panama,yellow-card,61'
760461,2026-06-23,Portugal,Uzbekistan,"2026 FIFA World Cup, Group Stage",1,1,2,True,14|Uzbekistan|yellow-card|14';68|Portugal|yellow-card|68',14,Uzbekistan,yellow-card,14'
760462,2026-06-24,Bosnia-Herzegovina,Qatar,"2026 FIFA World Cup, Group Stage",1,1,2,True,78|Qatar|yellow-card|78';82|Bosnia-Herzegovina|yellow-card|82',78,Qatar,yellow-card,78'
760463,2026-06-24,Switzerland,Canada,"2026 FIFA World Cup, Group Stage",1,2,3,True,32|Canada|yellow-card|32';32|Switzerland|yellow-card|32';87|Canada|yellow-card|87',32,Canada,yellow-card,32'
