"match_id","match_date","team_name","referee_known_from_history","is_knockout","actual","lambda_baseline","lambda_hier","nll_baseline","nll_hier"
760457,"2026-06-22","Iraq",TRUE,0,1,1.51397205588822,1.89555022459269,1.0992353581845,1.25604107221785
760458,"2026-06-23","England",TRUE,0,1,0.944282001299545,0.566206647845817,1.00161242855696,1.13500281305727
760458,"2026-06-23","Ghana",TRUE,0,1,1.88856400259909,2.17406054827046,1.25274724929656,1.39746390886891
760459,"2026-06-23","Colombia",TRUE,0,2,1.89970760233918,0.980032070291189,1.30945482125137,1.71351921698321
760459,"2026-06-23","DR Congo",TRUE,0,1,1.4995126705653,1.42446390957413,1.09437250153392,1.07066837044355
760460,"2026-06-23","Panama",TRUE,0,1,2.11078622482131,1.59433014723432,1.36372572833961,1.12787646959578
760460,"2026-06-23","Croatia",TRUE,0,1,1.49985380116959,1.10720833701846,1.09448616369847,1.00536650134395
760461,"2026-06-23","Portugal",TRUE,0,1,1.46647173489279,0.780735262838547,1.08361239949738,1.02825442148272
760461,"2026-06-23","Uzbekistan",TRUE,0,1,1.4995126705653,1.39974454938644,1.09437250153392,1.06345479413791
760462,"2026-06-24","Bosnia and Herzegovina",TRUE,0,1,1.99183673469388,1.26290916042062,1.30277953938546,1.02949124329636
760462,"2026-06-24","Qatar",TRUE,0,1,1.99428571428571,1.09509597606034,1.3039997660068,1.00425396726268
760463,"2026-06-24","Switzerland",TRUE,0,1,1.79619047619048,1.36025708698081,1.21052245614864,1.05258337055291
760463,"2026-06-24","Canada",TRUE,0,2,1.89428571428571,1.2664378231163,1.30974922344085,1.48716881211354
760464,"2026-06-24","Morocco",TRUE,0,0,1.52605042016807,1.21707565728776,1.52605042016807,1.21707565728776
760464,"2026-06-24","Haiti",TRUE,0,3,1.70612244897959,2.3143251239635,1.89521225226756,1.5887302274581
760465,"2026-06-24","Scotland",TRUE,0,1,1.70612244897959,1.28639374235451,1.17189922699956,1.034550987387
760465,"2026-06-24","Brazil",TRUE,0,2,1.40840336134454,0.725396474118215,1.41663715203158,2.06061748017547
760466,"2026-06-24","South Africa",TRUE,0,1,1.99183673469388,1.53507791912616,1.30277953938546,1.10649677772962
760466,"2026-06-24","South Korea",TRUE,0,1,1.8530612244898,1.153574986561,1.23622223699317,1.01070918218702
760467,"2026-06-24","Czech Republic",TRUE,0,0,1.27755102040816,1.41899836048132,1.27755102040816,1.41899836048132
760467,"2026-06-24","Mexico",TRUE,0,1,1.8530612244898,1.01358326513675,1.23622223699317,1.00009142557111
760468,"2026-06-25","Ecuador",TRUE,0,3,1.28729281767956,1.38673156186756,2.32142802000799,2.19764227929444
760468,"2026-06-25","Germany",TRUE,0,1,1.14407139821504,0.955652672614049,1.00947809617779,1.00101341772422
760469,"2026-06-25","Paraguay",TRUE,0,1,2.12470402525651,1.05629574805526,1.37107151481303,1.00152753753565
760469,"2026-06-25","Australia",TRUE,0,1,1.77663772691397,0.926895444837271,1.20191506632838,1.00280995335549
760470,"2026-06-25","Turkey",TRUE,0,0,1.4104183109708,1.008613569973,1.4104183109708,1.008613569973
760470,"2026-06-25","United States",TRUE,0,1,1.53390256152687,1.03140225929623,1.10608737981249,1.00048296614982
760471,"2026-06-25","Japan",TRUE,0,1,1.19152854511971,0.880548075198834,1.01629157055274,1.00775882785013
760471,"2026-06-25","Sweden",TRUE,0,2,1.57274401473297,1.63184999623321,1.36024744758364,1.34556850030362
760472,"2026-06-25","Tunisia",TRUE,0,0,1.37484062898428,1.65154556708157,1.37484062898428,1.65154556708157
